Region,Category,Sub-Category,Sales,Profit,Mean_line_discount,Margin_pct
East,Office Supplies,Envelopes,4375.874,1812.4089999999999,0.08108108108108109,41.418217252142085
East,Office Supplies,Fasteners,819.718,263.9908,0.0918032786885246,32.205075403980395
East,Office Supplies,Labels,2602.934,1129.28,0.06728971962616823,43.384887976414305
East,Office Supplies,Paper,20172.602,9015.371,0.06455026455026455,44.69116577028585
East,Office Supplies,Storage,71612.584,8389.3712,0.07107438016528925,11.714939932903413
East,Office Supplies,Supplies,10760.116,-1155.1352000000002,0.06785714285714287,-10.735341514905603
East,Technology,Accessories,45033.371999999996,11195.8644,0.08543689320388351,24.861261555097407
East,Technology,Copiers,53219.462,17022.841800000002,0.25,31.986121543280543
East,Technology,Machines,66106.16500000001,6928.642900000001,0.28378378378378377,10.481084328519133
East,Technology,Phones,100614.982,12314.686,0.16029411764705884,12.23941579594975
South,Furniture,Bookcases,10899.362,1339.4918,0.1,12.289634934595254
South,Furniture,Chairs,45176.446,6612.0893,0.09772727272727272,14.636143135296651
South,Furniture,Furnishings,17306.684,3442.6829000000002,0.10666666666666667,19.892215631833345
South,Furniture,Tables,43916.192,-4623.0579,0.22254901960784312,-10.52700083832405
South,Office Supplies,Appliances,19525.326,4123.9396,0.1111111111111111,21.120976930167515
South,Office Supplies,Art,4655.622,1058.5866,0.10140845070422536,22.73781247704388
South,Office Supplies,Binders,37030.341,3900.664,0.3756097560975609,10.533697218721265
South,Office Supplies,Envelopes,3345.556,1465.4769999999999,0.07407407407407407,43.80369062720815
South,Office Supplies,Fasteners,503.316,173.7181,0.08275862068965519,34.51471838765308
South,Office Supplies,Labels,2353.18,1040.7723,0.1076923076923077,44.22833357414223
South,Office Supplies,Paper,14150.984,5947.0614000000005,0.10226244343891404,42.02577997402866
South,Office Supplies,Storage,35768.06,2274.2965,0.0921875,6.358456399368599
South,Office Supplies,Supplies,8318.928,1.8772999999999893,0.10344827586206896,0.022566609543921878
South,Technology,Accessories,27276.754,7004.5424,0.0859375,25.679530636233327
South,Technology,Copiers,9299.756,3658.9067,0.08571428571428573,39.34411504990023
South,Technology,Machines,53890.96,-1438.8930000000005,0.3333333333333333,-2.670008105255502
South,Technology,Phones,58304.438,10767.2753,0.1,18.467333996084484
West,Furniture,Bookcases,36004.1235,-1646.5117,0.22875,-4.573119798347542
West,Furniture,Chairs,101781.328,4027.5843,0.20000000000000004,3.9570954507490805
West,Furniture,Furnishings,30072.73,7641.2704,0.03289473684210526,25.409300718624483
West,Furniture,Tables,84754.562,1482.6073000000001,0.19999999999999998,1.7492949819031571
West,Office Supplies,Appliances,30236.336,8261.2699,0.030882352941176472,27.3223247023052
West,Office Supplies,Art,9212.065999999999,2374.097,0.031200000000000002,25.771602157431357
West,Office Supplies,Binders,55961.113,16096.8016,0.28174097664543524,28.764262783694104
West,Office Supplies,Envelopes,4118.099999999999,1908.7624,0.041791044776119404,46.35055972414464
West,Office Supplies,Fasteners,923.216,275.1907,0.03333333333333334,29.80783478622554
West,Office Supplies,Labels,5078.726,2303.1223,0.018965517241379314,45.348425963519205
West,Office Supplies,Paper,26663.718,12119.2364,0.03155555555555556,45.452162372854374
West,Office Supplies,Storage,70532.852,8645.3222,0.030827067669172935,12.257156707628951
West,Office Supplies,Supplies,18127.122,626.0464999999999,0.03768115942028986,3.453645316669684
West,Technology,Accessories,61114.116,16484.5983,0.03643410852713178,26.97347090809593
West,Technology,Copiers,49749.242,19327.2351,0.14400000000000002,38.84930568389364
West,Technology,Machines,42444.122,-618.9264,0.3025641025641026,-1.4582146380598942
West,Technology,Phones,98684.352,9110.7426,0.2,9.232205932709576
